canonical_entry,category,surface_form,surface_type,raw_occurrences,distinct_passages,included_in_alias_layer,note
smallpox,disease,smallpox,canonical,0,0,True,
smallpox,disease,small-pox,source_verified_variant,45,21,True,
lodging house,housing,lodging house,canonical,2,1,True,
lodging house,housing,lodging-house,source_verified_variant,27,13,True,
lodging house,housing,lodginghouse,source_verified_variant,1,1,True,
lodging house,housing,lodging houses,source_verified_variant,5,4,True,
lodging house,housing,lodging-houses,source_verified_variant,11,8,True,
lodging house,housing,lodginghouses,source_verified_variant,2,2,True,
common lodging house,housing,common lodging house,canonical,2,1,True,
common lodging house,housing,common lodging-house,source_verified_variant,1,1,True,
common lodging house,housing,common lodginghouse,source_verified_variant,1,1,True,
common lodging house,housing,common lodging houses,source_verified_variant,1,1,True,
common lodging house,housing,common lodging-houses,source_verified_variant,9,8,True,
common lodging house,housing,common lodginghouses,source_verified_variant,1,1,True,
water supply,sanitary,water supply,canonical,32,25,True,
water supply,sanitary,water-supply,source_verified_variant,2,1,True,
working class,inequality,working class,canonical,1,1,True,
working class,inequality,working-class,source_verified_variant,1,1,True,
lodging house,housing,LodingHouses,OCR_error,1,1,False,OCR-induced misreading of LodgingHouses; documented during source verification and not added to lexical-normalisation aliases.
