chapter_location,claim,dissertation_value,fresh_output_value,classification,evidence_file,documented_lineage,severity,reason,action_taken,verification_after_action,notes
Chapter 3,MOH reports,10,10,EXACT MATCH,outputs/tables/moh_quality_check.csv,raw TXT → 01 quality check,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,Reporting years 1890–1899; publication years 1891–1900.
Chapter 3,Cleaned corpus words,"approximately 121,057","121,057",ROUNDING MATCH,outputs/tables/moh_quality_check.csv,raw TXT → 01 quality check,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3,Total passages,657,657,EXACT MATCH,outputs/tables/moh_narrative_passages.csv,07 narrative extraction,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3,Narrative passages,275,275,EXACT MATCH,outputs/tables/moh_narrative_passages.csv,07 narrative extraction + frozen overrides,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3,Table-context passages,382,382,EXACT MATCH,outputs/tables/moh_narrative_passages.csv,07 narrative extraction + frozen overrides,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3,Narrative subset words,"51,428","51,428",EXACT MATCH,outputs/tables/moh_narrative_passages.csv,sum of final narrative rows,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3,Passage length thresholds,minimum 55; target 170; maximum 260 words,55; 170; 260,EXACT MATCH,scripts/07_moh_narrative_extraction.py,frozen segmentation constants,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3,Initial classifier before override review,272 narrative; 382 table; 3 unresolved,272; 382; 3,EXACT MATCH,data/metadata/narrative_classification_overrides.csv,automated classification → frozen manual resolution,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3,Narrative classifier thresholds,0.10; 18; 8; 2×3; 0.34; 8,0.10; 18; 8; 2×3; 0.34; 8,EXACT MATCH,scripts/07_moh_narrative_extraction.py,documented table-signal thresholds,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3,Narrative positive thresholds,3/4; 80; 0.012; <0.06; <8,3/4; 80; 0.012; <0.06; <8,EXACT MATCH,scripts/07_moh_narrative_extraction.py,documented narrative-signal thresholds,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3,Earlier feasibility terms,42,42,EXACT MATCH,scripts/02_moh_keyword_counts.py,whole-corpus feasibility stage; not final dictionary,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3 / Appendix A,Frozen controlled dictionary,55 canonical entries,55,EXACT MATCH,scripts/moh_keyword_dictionary.py,08 narrative dictionary → Appendix A,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3 / Appendix A,Source-verified lexical variants,13,13,EXACT MATCH,scripts/moh_keyword_dictionary.py,limited lexical normalisation,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3,Controlled retrieval records,804,804,EXACT MATCH,outputs/tables/moh_close_reading_candidates.csv,08 keyword analysis → 09 candidates,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3,Distinct controlled-retrieval passages,250,250,EXACT MATCH,outputs/tables/moh_close_reading_candidates.csv,distinct passage_id,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
Chapter 3 / 4,Governance candidate records,264,264,EXACT MATCH,outputs/tables/moh_close_reading_candidates.csv,category aggregation,NONE,Current dissertation claim agrees with fresh source-derived output.,Cross-checked only; dissertation and frozen analytical results were not edited.,PASS,
