report_year,passage_id,matched_places,passage_text,source_file,notes
1890,1890_0010,George Yard,"By the kindness of your Surveyor I am 9 permitted to introduce a brief statement concerning the chief features of the District Mortuary and Coroner's Court, etc., which will be executed after the plans of Mr. W. La Riviere. He thus describes the proposed works :� The buildings are to be erected upon brick Arches, Girders, and Columns, all upon one floor, the dimensions of the different rooms being as follows :� Coroner's Court, 16 feet by 23 feet, lighted from above and side lights from George Yard. Coroner's Consulting Room, Lavatory attached, 9 feet by 12 feet, light from George Yard. Waiting Room, 10 feet by 12, Lavatory attached, lighted from Destructor Yard. Post Mortem Room, 15 feet by 12 feet, lighted from above and Destructor Yard (with necessary hot and cold water apparatus.) Infectious Mortuary, 14 feet by 12 feet, lighted from George Yard. Hebrew Mortuary, 16 feet by 12 feet, lighted from George Yard, Hebrew Watcher's Room and Lavatories attached, lighted from George Yard. Catacomb Mortuary, comprising ten separate compartments, with independent ventilation to each, and lighted and ventilated from above. Viewing Lobby to Mortuaries, 14 feet by 14 feet, lighted and ventilated from above.",data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt,Likely narrative passage 1890_0010; spatial reference candidate; verify OCR/source before quotation.
1890,1890_0011,Spitalfields,"Lift provided from ground floor into Viewing Lobby. Landing in centre of building, lighted and ventilated from above. The floors to the Post Mortem Room, Mortuaries, Catacombs, Viewing Lobby, Watcher's Room, and W.C., formed with Portland cement. The floors to Waiting Rooms, Lavatory, Coroner's Court, and W.C., formed with pitch pine wood blocks, laid herring-bone pattern. UNCERTIFIED DEATHS. Only 3 uncertified deaths occurred, viz. :�A male, aged one hour, certified by a midwife as premature birth. This was in the Goodman's Fields sub-district. In the Spitalfields sub-district two deaths were stated to be due to Bronchitis; one was a B 10 woman, aged 38, and the other a girl, aged two years. All were registered, by instruction of the Coroner, without inquests. WATER SUPPLY TO THE DISTRICT. From the published monthly returns furnished by the experts who examine regularly into the condition of the water supplied by the Companies, it appears that good water has been distributed in sufficient quantity during the year. Constant service is the mode of supply nearly throughout the District.",data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt,Likely narrative passage 1890_0011; spatial reference candidate; verify OCR/source before quotation.
1890,1890_0032,Whitechapel Road; Mile End New Town; Hanbury Street,"The whole of the drains have been ventilated. In all but one instance fresh air inlets have been provided. Syphon intercepting traps have been provided in every case, and inspection manholes have been constructed in every case where necessary. Estimated cost of the whole of above works is �425. In conclusion, we may state that the carrying out of the ""Infectious Diseases Notification Act,"" has involved a very considerable amount of extra work during the past year, as will be seen from the figures relating to disinfecting in the tabulated work before mentioned. We are, Sir, Your obedient Servants, RICHARD SKIDMORE WRACK, Sanitary Inspectors. THOS. P. WRACK. 23 APPENDIX. SLAUGHTER-HOUSES. WHITECHAPEL. Address. To whom Licensed. 269. Whitechapel Road Alfred Garton 3, High Street Benjamin James Wood. 6, � � Solomon Horwitz and Joseph Lialter 27, � � Thomas Kefford. 4, � � Charles Henry Knight. 2, � � Robert Lankester. 52, � � Joseph Nathan. 52, Cable Street Mary Pettitt. MILE END NEW TOWN. 147, Hanbury Street John Arthur Garton. COW-HOUSES. WHITECHAPEL. Address. To whom Licensed. 11, Black Lion Yard (both sides) John Davis 6, Whites Row Evan Edwards. 7, Finch Street William James.",data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt,Likely narrative passage 1890_0032; spatial reference candidate; verify OCR/source before quotation.
1891,1891_0012,Mile End New Town,"Male a few hours old ,, 12 hours old In the Mile End New Town Sub-District Male, 1 hour old. These were all certified by Midwives as cases of premature birth. No inquest was held in any case. During the year the Coroners inquired into the cause of death Inquests in 354 cases. Only 183 of investigations had reference to Whitechapel District-residents. I am happy to be able to report the completion of the Public Mortuary. It remains only for details of administration to be arranged, and for regulations to be agreed to, before the building can be opened to supply the necessity which your Board has been until now unable to afford by reason of the difficulty in obtaining a suitable site. In my last year's Report, your Surveyor gave a description of the accommodation to be allowed, and I am now of opinion that much benefit will result to the District from the new Mortuary when it becomes generally known that so useful and excellent a building is available. I have nothing to add to the Reports which I have given annually in the past upon water supply.",data/raw/moh/Whitechapel_1891_b19883663_fulltext.txt,Likely narrative passage 1891_0012; spatial reference candidate; verify OCR/source before quotation.
1891,1891_0023,Whitechapel High Street,"16 calls upon every Sanitary Authority to make bye-laws for certain purposes, including the prevention of nuisances arising from snow, ice, salt, dust, ashes, &c., &c., or other matter or thing in any street. This section is founded upon Michael Angelo Taylor's Act, as well as the Metropolitan Police Act, and the Metropolis Management A(ft. I find that the only Whitechapel street named in the Police Act, wherein refuse must not be collected between 10 a m. and 7 p.m., is Whitechapel High Street, up to Church Lane. A penalty not exceeding forty shillings is incurred by infringing this clause. Sec. 18 states: ""Where it is proved to the satisfaction of a ""Petty Sessional Court that any locality, premises, or place, are "" or is, unfit for the keeping of any animal, the Court may by "" summary order prohibit the using thereof for that purpose for the "" future."" Sec.",data/raw/moh/Whitechapel_1891_b19883663_fulltext.txt,Likely narrative passage 1891_0023; spatial reference candidate; verify OCR/source before quotation.
1892,1892_0001,Leman Street,"WH140 THE ANNUAL REPORT on the Sanitary Condition of the WHITECHAPEL DISTRICT (WITH VITAL AND OTHER STATISTICS), FOR (53 Weeks of) THE YEAR 1892, by JOSEPH LOANE, M.R.C.P. Ed.,&c., diplomate in public health, university of cambridge fellow of the incorporated society of medical officer of health associate of the college of state medicine; member of the sanitary institute; MEDICAL OFFICER OF HEALTH and public vaccinator to the whitechapel Union examiner in and instructor of vaccination by order of the local government board. LONDON. PRINTED BY PENNY AND HULL, 53, LEMAN STREET, E 1893. Offices of the Board of Works for Whitechapel District. Sanitary Department: No. 15, Great Alie Street, London, E. January 2yd, 1893. Gentlemen, Readers of the Reports which I have hitherto had the honor to present to your Board, are aware that in the classification of the various statistics which form the backbone of these Reports, I have used, as a model, those tables which are issued from the Office of the Registrar-General for England. By adopting this arrangement, a scale for comparison purposes is presented, so that I am enabled to invite attention to matters which contrast both favourably and unfavourably between the Metropolis as a whole and the Whitechapel District.",data/raw/moh/Whitechapel_1892_b19883675_fulltext.txt,Likely narrative passage 1892_0001; spatial reference candidate; verify OCR/source before quotation.
1893,1893_0011,Mile End Old Town,"It is hoped that increased efforts will be made amongst the strong-holds of Cholera, so that the disease may cease to be the dreadful scourge it has proved in the past. Our only effectual safety lies in the disease ceasing to exist in Egypt. The last volume of the Census Returns has just been issued. I have examined these Returns, and have extracted those Tables which referred to the Whitechapel District. I have prefaced this Report with them, so that they might be readily available for future reference. As. these figures are open to inspection by any requiring special information, I shall only revert to the altered condition since the last Census from one point of view, viz:�the influence of Foreign immigration, upon the Whitechapel District. Included in the City of London, Shoreditch, Bethnal Green, Stepney, St. George-in-the-East, Mile End Old Town and Poplar, 39,307 foreigners of all nationalities were present on the Census night, and of these, Whitechapel possessed 17,961. Taking, however, only Russians and Russian Poles, the Whitechapel District possesses 13,538, of these country people as compared with 10,213 distributed amongst all the other East End Parishes, including the City of London.",data/raw/moh/Whitechapel_1893_b18018348_fulltext.txt,Likely narrative passage 1893_0011; spatial reference candidate; verify OCR/source before quotation.
1893,1893_0052,Spitalfields,"It will be seen from the said Statement that Drainage Works have been carried out in a very large number of premises, including ""The Sailors' Home,"" ""The Foundation School,"" ""St. Mary's Schools, Church Passage, Spitalfields,"" ""The Central Bank,'' and "" The Whitechapel Church."" Notwithstanding the large increase in the general work of the District we have been able to devote some attention to overlooking the workshops under the Order issued by the Home Secretary. Very great care and attention was paid during the year to the question of unwholesome food, and it will be seen that large quantities of various articles were seized and destroyed. In the main the Vendors were cautioned, but several summonses were issued resulting in fines and costs amounting to �8 11s. Last year we reported that 1153 cases of Infectious Disease had occurred, but this year we are sorry to have to report an increase of 230 cases, making the total for the year 1383 cases. Disinfection was promptly carried out in every instance. The insufficient Hospital accommodation during the Summer months, largely increased the work in this particular branch.",data/raw/moh/Whitechapel_1893_b18018348_fulltext.txt,Likely narrative passage 1893_0052; spatial reference candidate; verify OCR/source before quotation.
1894,1894_0001,Commercial Road,"WHI 2 THE ANNUAL REPORT on the SANITARY CONDITION of the WHITECHAPEL DISTRICT, (WITH VITAL AND OTHER STATISTICS), FOR THE YEAR 1894, (consisting of 52 weeks), being the ELEVENTH ANNUAL REPORT, by JOSEPH LOANE, MEDICAL OFFICER OF HEALTH; diplomate in public health, university of cambridge; fellow of the incorporated society of medical officers of health ; associate of the college of state medicine; member of the sanitary institute; public vaccinator to the whitechapel union; examiner in, and instructor of, vaccination, by order of the local government board. LONDON: PRINTED BY GEORGE STEVENS & CO., Ltd., 19 & 25a, Commercial Road, E. 1895. Offices of the Board of Works for the Whitechapel District. Public Health Department No. 15, Great Alie Street, London, E. January 18th, 1895. Gentlemen, The District over which you preside is essentially a changing one, as regards the character of its houses, as well as the people who inhabit them. When I commenced practice there were many Courts and Alleys in the North and South portions of Whitechapel, which have now been replaced by large blocks of Artizans' dwellings�then Whitechapel was as much Anglo-Saxon in its population as any other part of Loudon.",data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,Likely narrative passage 1894_0001; spatial reference candidate; verify OCR/source before quotation.
1894,1894_0002,Spitalfields,"We have seen all this become altered, at first slowly, now so rapidly, that at the present time a stranger coming into some of the streets in Spitalfields might be excused for doubting that he was in the Capital of England at all. These changes of Nationality in population carry with them certain difficulties in administration which must be apparent at the first thought; difficulties such as could not have arisen if the population had remained a more or less stationary one. Some of these difficulties I shall have to mention later on, but for the present I am concerned with the one as to the probable Census of the District, and the problem how best to arrive at it. From experience we are inclined to doubt the accuracy of the Government Census Returns, because we know how difficult it is for Inspectors to obtain the correct particulars, even by carefully visiting each tenement. I can, however, only base my conclusion upon the estimated population in the middle of the year 1894, supplemented by other facts which I will now explain.",data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,Likely narrative passage 1894_0002; spatial reference candidate; verify OCR/source before quotation.
1894,1894_0011,Spitalfields; Mile End New Town,"Although sulphurous acid gas is still used as the routine disinfectant for rooms, it is supplemented in special cases by perchloride of mercury in solution. In the summer of 1894, the former provisions as to Cholera precautions were revived, and during the autumn months your Board added ""Diarrh�a "" to the list of notifiable diseases. * Six only were District Residents 8 I am informed by your Surveyor that the results in connection with the cremation of refuse have been highly satisfactory during the year, and I can bear testimony to the advantages which are derived from the daily collection of house refuse, which now is extended to nearly the whole District. It may interest you to know that at present only four Sanitary Districts out of 42 have Dust destructors, the remaining Authorities continue to dispose of the refuse in the manner which formerly you were obliged to adopt. Old Age Deaths:-Males 14 Females 17 31 Age Distribution of Deaths. Sub-Registration Districts Distribution. Between the ages of 80 and 85 16 Spitalfields Sub-District 10 � � 85 � 90 11 Mile End New Town do.",data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,Likely narrative passage 1894_0011; spatial reference candidate; verify OCR/source before quotation.
1894,1894_0013,London Hospital,"Nearly all the former took place at the London Hospital. Through the death of Dr. Macdonald, the London County Council were enabled to place the entire District of Whitechapel under the jurisdiction of one Coroner, so that during the year no difficulty has been reported in the working of the Mortuary arrangements. The Mortuary has received 182 bodies during the twelve months: Inquests were held upon all but 8. The Fees received by arrangement with the Coroner, for the use of the Coroner's Court amounted to �31 17s. Od. During the two years and nine months the Mortuary has been open, a total of 434 bodies were received into its chambers, and a total of �78 4s. Od. has been paid bv the Coroner in Fees. Water Supply in the Whitechapel District. In my last Report, I alluded to the action of the East London Water Company in limiting its supply of water, and I mentioned that a prosecution which was instituted against the Company for a breach of covenants, resulted in a verdict for the Water Company.",data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,Likely narrative passage 1894_0013; spatial reference candidate; verify OCR/source before quotation.
1894,1894_0020,Hanbury Street,"Dr. Longstaff, Chairman of the Building Act Committee of the London County Council, who was active in the promotion of the Bill, was recently discussing its merits at the Parkes Museum. The Doctor stated ""that Parliament threw upon the County Council ""the imperative duty, under certain circumstances, of (at practically ""whatever cost) buying out unhealthy buildings of persons of the ""working-class, and seeing that more suitable dwellings were placed ""thereon."" Perfectly true! may I commend this opinion to the consideration of the Council when they next consider the question of "" The Bell Lane and Great Pearl Street areas?"" Housing of the Working Classes Act, 1890. I have been very unsuccessful in the application of this Act to worn out property. To begin with, I do not think Magistrates like it; and although very strong evidence has been produced in support of some prosecutions which I have been interested in, more difficulties have occurred with it than I have experienced with any other Sanitary Act. As an illustration, I will mention the houses in Hanbury Street and Samuel Court.",data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,Likely narrative passage 1894_0020; spatial reference candidate; verify OCR/source before quotation.
1894,1894_0023,Mile End Old Town; Spitalfields,"It recites the information that a complaint which was introduced into the Annual Report for 1893, and published by the Sanitary Committee of the Jewish Board of Guardians, was the origin of the instructions by the London County Council to its Medical Staff to prepare Reports concerning the Sanitary Condition of both Mile End Old Town Hamlet, and of the Whitechapel District. So far as regards the share which is allotted to Whitechapel in the Jewish Board of Guardians' Sanitary Report, it may at once be stated that the chief charge against the Whitechapel District has reference to blocks of buildings known as Booth Street Buildings, situated in Booth Street, Spitalfields.",data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,Likely narrative passage 1894_0023; spatial reference candidate; verify OCR/source before quotation.
1894,1894_0027,Spitalfields,"Hamer, although interesting, they can only indicate the nature of the employments which attract the latter, and the large number of New Model Dwellings which attract the former. Dr. Hamer makes a point of the density of population being high in the Whitechapel District�240 persons per acre for the whole District, and 313 for the Sub-District of Spitalfields. He might have added 600 persons to an acre in the Bell Lane Area. A very little explanation will suffice to discount somewhat the apparent evil connected with such a high density of population. It must be so where cottages and small houses give place to huge piles of barracks called Model Dwellings. It must not be forgotten, in considering the effect of such buildings upon the future health and Sanitary Condition of a District, that when such structures are well built, and are inhabited by a selected class of tenants, comparatively little over-looking by the Sanitary Staff is called for, and the Sickness Rate, as well as the Death Rate, become much reduced.",data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,Likely narrative passage 1894_0027; spatial reference candidate; verify OCR/source before quotation.
1894,1894_0053,Wentworth Street,"Wentworth Street Exposing for sale 1 Trunk of Herrings unfit for human food � 15th Fined �5 and 3s. costs. In default of distress one month's imprisonment. Wentworth Street Exposing for sale 2 Trunks of Herrings unfit for human food � 15th Fined �2 10s. and 4s. costs. In default of distress 14 days' imprisonment. Wentworth Street Exposing for sale 3 Trunks of Herrings unfit for human food � 15th Fined �2 10s. and 5s. costs. In default of distress 14 days' imprisonment. N.B.�Defendant went to prison for 14 days. Wentworth Street Exposing for sale 2 Trunks of Herrings unfit for human food � 15th Fined �2 10s. and 4s. costs. In default of distress 14 days' imprisonment. 7, Oxford Street Walls and ceilings of the house dirty and dilapidated. The closet without water supply � 20th Work done. Summons withdrawn. 1, Tenter Buildings, St. Mark Street Yard defectively paved. Drinking water drawn from cistern situated in water closet and which cistern was without a cover � 20th Work done. Summons withdrawn. 8, Gun Street House in such a condition as to be unfit for human habitation April 14th House ordered to be closed forthwith. 9, Gun Street Ditto � 14th House ordered to be closed forthwith.",data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,Likely narrative passage 1894_0053; spatial reference candidate; verify OCR/source before quotation.
1894,1894_0054,Wentworth Street; Fashion Street,"6, Wentworth Street House dirty and dilapidated. No water for domestic use � 30th Work done. Summons withdrawn. 16, Fashion Street Wilfully stopping up the drain May 4th Fined �2 and 7s. costs. 22, Fieldgate Street Underground room occupied as a dwelling � 8th Occupation discontinued. Summons withdrawn. 40 Situation of Premises. Nature of Nuisance or Complaint. Date of hearing of Summons. Result. 1894 22, Fieldgate Street Fowls kept in filthy sheds in yard, walls and ceilings of house dirty and dilapidated. Yard defectively paved and in a filthy state. No water to water closet owing to defective fittings. Open fireplace in yard without a proper flue May 8th Work done. Summons withdrawn. Tenter Buildings, St. Mark Street Walls and ceilings of passage and staircase dirty. Sinks on 1st and 2nd floor landings not trapped. The water closets on 1st and 2nd floors dirty � 8th Work done. Summons withdrawn. 21, Great Alie Street Yard defectively paved. Drain in yard not properly trapped. Pan of water closet filthy. No eaves gutter to water closet. Back basement, dirty and dilapidated walls and ceilings, and floor defective. Front area not drained and paving of such area defective � 8th Work done.",data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,Likely narrative passage 1894_0054; spatial reference candidate; verify OCR/source before quotation.
1894,1894_0055,Hanbury Street,"Summons withdrawn. 178, Hanbury Street Closet situated in workshop stopped and in a filthy state � 10th Work done. Summons withdrawn. 58, White Lion Street Workshop overcrowded � 10th Abatement and prohibition orders made. Fined �1 and �2.2s. costs. *20, White's Row Bakehouse not properly ventilated, in a filthy state, and used as a sleeping apartment � 22nd Bakehouse ordered to be closed forthwith. Fined �2 and 5s. costs. In default of distress 14 days' imprisonment. 29, Old Montague Street Workshop without sufficient and suitable accomodation in the way of sanitary conveniences, and without separate accommodation for the females employed therein, and not properly ventilated. Roof of W.C. defective. Walls of W.C. dirty June 18th Work done. Summons withdrawn, 3s. costs, paid. 126, Old Montague Street Walls and ceiling of workshop dirty. Workshop not properly ventilated � 18th Work done. Summons withdrawn, 3s. costs, paid. 41 Situation of Premises. Nature of Nuisance or Complaint. Date of hearing of Summons. Result. 1894 7, Ely Place Workshop overcrowded June 18th Fined �1 and 3s. costs. 9, Shepherd Street Workshop without sufficient and suitable accommodation in the way of sanitary conveniences, and without separate accommodation for the females employed therein � 18th Work done.",data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,Likely narrative passage 1894_0055; spatial reference candidate; verify OCR/source before quotation.
1894,1894_0056,Wentworth Street,"Summons withdrawn, 3s. costs, paid. Old Montague Street Exposing for sale a quantity of cherries unfit for human food July 5th Fined .�1 and 10s. costs. In default of distress 10 days' imprisonment. Wentworth Street Exposing for sale a quantity of cherries unfit for human food � 5th Fined �1 and 10s. costs. In default of distress 10 days' imprisonment. Spitalfield's Market Selling to another person 60 baskets of cherries unfit for human food � 16th Summons dismissed. Insufficient evidence. Wentworth Street Exposing for sale 46 baskets of cherries unfit for human food � 16th Summons dismissed. Insufficient evidence. Wentworth Street Exposing for sale � box of oranges unfit for human food � 16th Fined �1 and 2s. costs. Wentworth Street Exposing for sale � box of oranges unfit for human food � 16th No fine, to pay 2s. costs only. 9, Gun Street The keeping of live fowls in the house and in the yard Sept. 13th Abatement and prohibition orders made. To pay �1 1s. costs. 15, Bell Lane The keeping of live fowls in yard and shed � 13th Prohibition order made. To pay 3s. costs. 2, Fisher's Alley The keeping of live fowls in yard 13th Abatement and prohibition orders made.",data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,Likely narrative passage 1894_0056; spatial reference candidate; verify OCR/source before quotation.
