report_year,report_id,passage_id,matched_places,raw_matched_mentions,review_status,source_form,interpretive_use,review_reason,source_page_verified,verified_scan_canvas,verified_printed_page,official_iiif_image_url,official_alto_url,verification_result,verification_basis,review_date
1890,b19883651,1890_0010,George Yard,5,retain_with_caution,narrative_description_with_repetition,contextual_candidate_not_frequency_evidence,"George Yard appears five times within one passage. The passage is retained, but repeated mentions are not treated as five independent observations.",True,9,9,"https://iiif.wellcomecollection.org/image/b19883651_0009.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883651/b19883651_0009.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1890,b19883651,1890_0011,Spitalfields,1,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,9,9,"https://iiif.wellcomecollection.org/image/b19883651_0009.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883651/b19883651_0009.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1890,b19883651,1890_0032,Mile End New Town; Whitechapel Road; Hanbury Street,3,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,23,23,"https://iiif.wellcomecollection.org/image/b19883651_0023.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883651/b19883651_0023.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1891,b19883663,1891_0012,Mile End New Town,1,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,12,12,"https://iiif.wellcomecollection.org/image/b19883663_0012.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883663/b19883663_0012.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1892,b19883675,1892_0001,Leman Street,1,exclude_from_substantive_interpretation,title_page_printer_address,transparency_only,"Leman Street is the printer's address on the report title page, not a substantive reference to public-health geography.",True,1,1,"https://iiif.wellcomecollection.org/image/b19883675_0001.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b19883675/b19883675_0001.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1893,b18018348,1893_0011,Mile End Old Town,1,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained after source review; the passage explicitly reads Mile End Old Town.,True,14,2,"https://iiif.wellcomecollection.org/image/b18018348_0014.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b18018348/b18018348_0014.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-13
1893,b18018348,1893_0052,Spitalfields,1,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,49,37,"https://iiif.wellcomecollection.org/image/b18018348_0049.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b18018348/b18018348_0049.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1894,b1801835x,1894_0001,Commercial Road,1,exclude_from_substantive_interpretation,title_page_printer_address,transparency_only,"Commercial Road is the publisher/printer address on the report title page, not a substantive reference to public-health geography.",True,1,-,"https://iiif.wellcomecollection.org/image/b1801835X_0001.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b1801835x/b1801835X_0001.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1894,b1801835x,1894_0002,Spitalfields,1,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,3,-,"https://iiif.wellcomecollection.org/image/b1801835X_0003.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b1801835x/b1801835X_0003.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
1894,b1801835x,1894_0011,Mile End New Town; Spitalfields,2,retain_candidate,narrative_or_administrative_text,contextual_candidate,Retained in the candidate layer; any substantive spatial interpretation still requires source-page verification.,True,8,8,"https://iiif.wellcomecollection.org/image/b1801835X_0008.jp2/full/1800,/0/default.jpg",https://api.wellcomecollection.org/text/alto/b1801835x/b1801835X_0008.jp2,place_and_source_context_confirmed_on_official_scan,manual_visual_check_against_official_wellcome_scan,2026-08-07
