passage_id,exists,reporting_year,source_file,exact_passage_text,retrieval_categories,matched_canonical_terms,dissertation_location,dissertation_use_supported,support_reason,severity,action_taken,verification_after_action
1890_0018,YES,1890,data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt,"Part iv. is supplemental to the foregoing parts of the act. Parts v. and vi. apply respectively to Scotland and Ireland. Part vii. names the sections of, or the entire acts which are repealed, and also contains the schedules and temporary provisions. I do not propose to detail the many advantages and the objections which this act contain. Certain points are difficult to understand, and only in practice can the entire merits be declared patent. It has obviously been the desire of the framers of this act to enlarge the powers of the Local Authorities in dealing with insanitary dwellings and I am glad to be in a position to state that, so far as your Board is concerned, such object will be most loyally seconded. INFECTIOUS DISEASES (PREVENTION) ACT, 1890. (53 and 54 Vict, ch. 34.) This act became operative on the 4th December last. Your board, during the same month, decided to inforce all the provisions contained in it. The act has reference to the inspection of dairies under certain conditions. It also gives power to prohibit the supply of milk within a district, when such supply reasonably appears to have been the cause of the introduction of disease therein.",governance; housing,board; dwellings; inspection,§5.3,YES,Supports the interpretation of new statutory powers as routine local governance and the Board's claimed institutional legitimacy.,NONE,Verified against fresh passage and candidate tables; no analytical change.,SUPPORTED
1893_0092,YES,1893,data/raw/moh/Whitechapel_1893_b18018348_fulltext.txt,"8. Where the Medical Officer of Health, the Sanitary Inspector, or any other officer specially appointed or authorised by the Sanitary Authority in that behalf, has, for the purpose of inspection, obtained access to the interior of a lodging-house or to the interior of any room or rooms in such house, a person shall not wilfuly obstruct any such officer in the inspection of any part of the premises, or, without reasonable excuse, neglect or refuse, when required by any such officer, to render him such assistance as may be reasonably necessary for the purpose of such inspection. (d) For enforcing drainage for such houses, and for promoting cleanliness and ventilation in such houses. 9. The landlord of a lodging-house shall in all cases provide an adequate supply of water for the use of the lodgers. 10. In any case where a lodger in a lodging-house is entitled to the exclusive use of any court, court-yard, area, or other open space within the curtilage of the premises, such lodger, and in any case where two or more lodgers in a lodging-house are entitled to the use in common of any court, court-yard, area, or other open space within the curtilage of the premises, the landlord shall cause such court, court-yard, area, or other open space to be thoroughly cleansed from time to time as often as may be requisite for the purpose of keeping the same in a cleanly condition.",governance; housing; inequality; sanitary,drainage; houses; inspection; inspector; lodgers; lodging house; medical officer; refuse; rooms; sanitary; sanitary authority,§5.4,YES,"Supports lodging-house bye-law access, authorised officer entry, non-obstruction, assistance and inspection.",NONE,Verified against fresh passage and candidate tables; no analytical change.,SUPPORTED
1895_0009,YES,1895,data/raw/moh/Whitechapel_1895_b19883687_fulltext.txt,"The Sanitary Committee met as arranged, and Messrs. Stephens and Lamb from the Salvation Army were present on the invitation of the Committee. These gentlemen agreed to assist the Officers of the Board in every way with a view to counteract the risk of spreading Small-pox through the medium of the occupants of their shelters. With this intent it was arranged that after that night no persons should be admitted into their shelters who were not in the possession of tickets: this would eliminate a danger from the presence of strangers who might come from other spheres of contagion. It was also agreed that certain proceedings as regards daily and special disinfection should be conducted under the inspection of the officers of the Board. They also undertook that no person apparently suffering from Small-pox should be allowed to go into the public thoroughfares, but that such person should be isolated, and when seen by a Medical man should be treated as directed by such Medical practitioner. On the following day I reported the outbreak of the epidemic to the Secretary of the Local Government Board, to whom a few davs later your Clerk reported th� result of your deliberation, and he also sent a copy of a resolution which you passed with reference to the influence Salvation Army Shelters exercised upon the District, and the desire of your Board was conveyed to the Local Government Board that some legislation might be provided to place these shelters upon the same footing as the Registered Common Lodging-houses.",disease; governance; housing; sanitary,board; common lodging house; inspection; local government board; sanitary; smallpox,§5.5,YES,"Supports Salvation Army shelter small-pox precautions, cooperation with Board officers, inspection, disinfection and isolation.",NONE,Verified against fresh passage and candidate tables; no analytical change.,SUPPORTED
1897_0054,YES,1897,data/raw/moh/Whitechapel_1897_b19883699_fulltext.txt,"3.�Visit as soon as possible at address of patient, and obtain all the information required to fill up Pocket Form, together with such other particulars as may appear to be useful. In each case leave with friends of patient one of the printed circulars as to disinfection. 4.�If the patient can be sufficiently isolated, or a Medical Practitioner certifies that the patient may remain at home, leave a post card for doctor to sign when in his opinion the premises may be disinfected, and from time to time until the post card be received, enquire as to the progress of the patient, and when convalescent, arrange with friends, the most convenient time, when disinfection of the premises and the collection of bedding and clothing, for disinfection in the apparatus, shall be carried out. 5.�Only use special Letter Form to head of family as to time of disinfection, if during pressure of work it becomes necessary to do so. 6.�If patient is to be removed to the Hospital, leave with the friends a certificate signed by the Medical Officer of Health, to be handed to thejMetropolitan Asylums' Board Nurse who comes for patient with the Ambulance.",governance,board; medical officer,§5.5,YES,"Supports Pocket Form, case visit and isolation/disinfection procedure.",NONE,Verified against fresh passage and candidate tables; no analytical change.,SUPPORTED
1897_0055,YES,1897,data/raw/moh/Whitechapel_1897_b19883699_fulltext.txt,"Telephone as soon as possible to Metropolitan Asylums' Board for the removal of the patient, and when removed make arrangements for disinfection (as stated in Paragraph 4). 7.�Every evening send to Clerk of Metropolitan Asylums' Board, on the special form provided for the purpose, a complete list of cases requiring removal to hospital, whether previously telephoned or not. 8:�Instruct the disinfecting men as to the time when disinfection is to be carried out in each case, and see that the work is efficiently performed. 9.�Having verified the case, enter particulars upon the Register Sheet hanging on the wall in the Office for that purpose, and call the attention of the Medical Officer to any case of Erysipelas following Vaccination. 10.�Notify the District Sanitary Inspector of the case and of any Sanitary defects discovered. 11;�Where milk is sold upon any premises notify by Special Letter Form the Medical Officer of Health of the London County Council of the fact. 12.�Within 12 hours of the receipt of the Notification send particulars of same to the Clerk of the Metropolitan Asylums' Board, upon the Printed Form provided for such purpose, and then hand over the Notification to the Clerk in the Department.",disease; governance; sanitary,board; inspector; medical officer; notification; sanitary,§5.5,YES,"Supports hospital removal, disinfection, Register Sheet and District Sanitary Inspector procedure.",NONE,Verified against fresh passage and candidate tables; no analytical change.,SUPPORTED
1897_0056,YES,1897,data/raw/moh/Whitechapel_1897_b19883699_fulltext.txt,"The number upon Notification upon the Register Sheet, and also upon the Pocket Form should be identical. 13.�Send the same day, upon a form provided for the purpose, to the Head Teacher of any School, notice when children living in a house where any infectious disease occurs are attending such School, and send to the Head Teacher of such School, a further notice when in any such house the necessary disinfection has been carried out. 14.�Generally supervise the work performed by the three men engaged for disinfecting work, and report to the Medical Officer of Health, in writing, any absence from or dereliction of duty on the part of the men. Also overlook the work going on in the Mortuary. 38 15.�After disinfection in each case a request is sent to the owner of the premises to strip paper from the walls and cleanse walla and ceilings. See that this work is carried out and initial the book kept for that purpose when the work has been completed. 16.�A daily list of disinfections is to be kept hanging up in the Office.",disease; governance,medical officer; notification,§5.5,YES,"Supports use of the same number on the Notification, Register Sheet and Pocket Form, and documentary continuity across officials.",NONE,Verified against fresh passage and candidate tables; no analytical change.,SUPPORTED
1890_0024,YES,1890,data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt,"Such ""faulty construction of chimney-flues as permits products of com""bustion from adjoining premises to permanently contaminate ""the air of living-rooms. (c) Age and General Want of Repair. ""This, when it reaches a degree of dilapidation, is obviously ""a just cause for representation. (d) Nuisances. ""Bad drainage, faulty closets, filth per se, &c., are, in our ""opinion, grounds for action taken under the ' Nuisances Re""moval and Sanitary Acts,' but where affecting a whole dwelling""house, or where combined with faults of site and construction, ""and general want of repair, they justify action also under the ""'Housing of the Working Classes Act.' ""In all the above cases the question of 'degree' comes in; ""it is, indeed, this question of degree that renders precise defini""tion impossible ; general principles can alone be laid down."" 18 This is obviously true, but in any case it is satisfactory to know that magistrates are determined to assist Local Authorities to improve the dwellings of the poor. The above list of mal-conditions, applicable to dwelling-houses, is no new invention of Sanitary Experts, and daily experience constantly advises that greater efforts should be forthcoming to put into practice the knowledge which this experience brings.",housing; inequality; sanitary,drainage; dwellings; filth; houses; nuisances; poor; rooms; sanitary; working classes,§6.2,YES,"Supports one housing-and-inequality legal argument using dwellings, houses, rooms and working classes.",NONE,Verified against fresh passage and candidate tables; no analytical change.,SUPPORTED
1898_0008,YES,1898,data/raw/moh/Whitechapel_1898_b19883705_fulltext.txt,"Stand pipes for the supply of water were erected in prominent places. Street watering and gulley flushing ceased to take place with East London Water�but water from the New River, as well as from the well in the Destructor Yard was freely used for these purposes. The East London Waterworks Company arranged to supply the Board with as many stone jars as should be required for distribution among the poorer inhabitants who were unable to store water for drinking purposes. Notices were printed and distributed throughout the District informing the inhabitants of the hours when the Company had arranged to turn on the water, and also stating that application could be made at the Offices of the Board by persons who required jars. The reason for the latter notice was to enable the Inspectors to visit the homes of applicants, to get information at once of any nuisance which might arise through the limitation of the Water Supply. It soon became apparent that the pans of water closets in the homes of the poor were liable to become choked, and that the house drains became foul where they were used by many people.",governance; inequality; sanitary,board; drains; notices; nuisance; poor; poorer; water supply,"§§4.7, 6.3",YES,"Supports the sequence from restricted water supply and jar distribution to visits, blocked closets, foul drains and nuisance affecting poor/poorer residents.",NONE,Verified against fresh passage and candidate tables; no analytical change.,SUPPORTED
1892_0026,YES,1892,data/raw/moh/Whitechapel_1892_b19883675_fulltext.txt,"The Government has been requested to transfer the supervision of these houses from the police to the Local Sanitary Authorities. I must at once declare that when the class of house is taken into consideration, together with the persons who lodge therein, my* experience compels me to assert that the change proposed would not be a good one. At present the police sergeant (who acts under his superintendent) admirably supervises the arrangements for the health of the lodgers, and in matters requiring their intervention, the Sanitary Authorities are called in to co-operate. The regulations governing accommodation and ventilation are well framed under the provision of the Lodginghouses Acts, and I am sorry that all houses, where the comparatively destitute are housed, have not the advantage of similar supervision. It has been my duty on account of a case of small-pox occurring at each, to investigate the sanitary condition of two large shelters provided by a philanthropic association for sleeping the poorest persons. I will not here detail all that I have been compelled to note concerning the places themselves, and the sleeping accommodation provided; but I feel unable to answer the question which arises in my mind, namely :�What good purpose is here being served, which could not be better attained by the police registered and supervised Common-lodging Houses ?",disease; housing; inequality; sanitary,destitute; houses; lodgers; lodging house; poorest; sanitary; smallpox,§6.5,YES,"Supports the combined class label and proposed sanitary supervision; confirmed terms include houses, destitute, lodgers, poorest and sanitary.",NONE,Verified against fresh passage and candidate tables; no analytical change.,SUPPORTED
1894_0059,YES,1894,data/raw/moh/Whitechapel_1894_b1801835x_fulltext.txt,"W.C. in yard stopped and water apparatus to same defective Dec. 18th Work done. Summons withdrawn. 12, Duncan Street Walls and ceiling of workshop dirty and dilapidated. Workshop is without sufficient and suitable accommodation in the way of sanitary conveniences, and without separate accomodation for the females employed therein � 18th Work done. Summons withdrawn. Wentworth Street Exposing for sale a quantity of chestnuts and water melons unfit for human food � 19th Fined �l and 5s. costs. 1, New Buildings, Tenter Street For exposing a child suffering from scarlet fever in the workshop � 24th Dismissed upon a technical objection. Magistrate ruled that a workshop was not a shop within the meaning of the Act. 44 PROCEEDINGS TAKEN UNDER THE HOUSING OF THE WORKING CLASSES ACT, 1890. Situation of Property. Date of Representation of the Medical Officer. Nature of Representation. Date of hearing of Summons. Result. 1894 1894 104, Hanbury Street February 12th Premises in such a state as to be totally unfit for human habitation March 8th The whole of the Summonses were adjourned from time to time to enable Owners to carry out very extensive works.",disease; governance; inequality; sanitary,dirty; medical officer; sanitary; scarlet fever; summonses; working classes,§§4.6–4.7,YES,Supports the rejected false-adjacency example: Wentworth Street's food offence and the next Tenter Street scarlet-fever entry are separate printed records.,NONE,Verified against fresh passage and candidate tables; no analytical change.,SUPPORTED
