report_year,passage_id,place,disease_terms,passage_text
1890,1890_0032,Mile End New Town,notification,"The whole of the drains have been ventilated. In all but one instance fresh air inlets have been provided. Syphon intercepting traps have been provided in every case, and inspection manholes have been constructed in every case where necessary. Estimated cost of the whole of above works is �425. In conclusion, we may state that the carrying out of the ""Infectious Diseases Notification Act,"" has involved a very considerable amount of extra work during the past year, as will be seen from the figures relating to disinfecting in the tabulated work before mentioned. We are, Sir, Your obedient Servants, RICHARD SKIDMORE WRACK, Sanitary Inspectors. THOS. P. WRACK. 23 APPENDIX. SLAUGHTER-HOUSES. WHITECHAPEL. Address. To whom Licensed. 269. Whitechapel Road Alfred Garton 3, High Street Benjamin James Wood. 6, � � Solomon Horwitz and Joseph Lialter 27, � � Thomas Kefford. 4, � � Charles Henry Knight. 2, � � Robert Lankester. 52, � � Joseph Nathan. 52, Cable Street Mary Pettitt. MILE END NEW TOWN. 147, Hanbury Street John Arthur Garton. COW-HOUSES. WHITECHAPEL. Address. To whom Licensed. 11, Black Lion Yard (both sides) John Davis 6, Whites Row Evan Edwards. 7, Finch Street William James."
1890,1890_0032,Whitechapel Road,notification,"The whole of the drains have been ventilated. In all but one instance fresh air inlets have been provided. Syphon intercepting traps have been provided in every case, and inspection manholes have been constructed in every case where necessary. Estimated cost of the whole of above works is �425. In conclusion, we may state that the carrying out of the ""Infectious Diseases Notification Act,"" has involved a very considerable amount of extra work during the past year, as will be seen from the figures relating to disinfecting in the tabulated work before mentioned. We are, Sir, Your obedient Servants, RICHARD SKIDMORE WRACK, Sanitary Inspectors. THOS. P. WRACK. 23 APPENDIX. SLAUGHTER-HOUSES. WHITECHAPEL. Address. To whom Licensed. 269. Whitechapel Road Alfred Garton 3, High Street Benjamin James Wood. 6, � � Solomon Horwitz and Joseph Lialter 27, � � Thomas Kefford. 4, � � Charles Henry Knight. 2, � � Robert Lankester. 52, � � Joseph Nathan. 52, Cable Street Mary Pettitt. MILE END NEW TOWN. 147, Hanbury Street John Arthur Garton. COW-HOUSES. WHITECHAPEL. Address. To whom Licensed. 11, Black Lion Yard (both sides) John Davis 6, Whites Row Evan Edwards. 7, Finch Street William James."
1890,1890_0032,Hanbury Street,notification,"The whole of the drains have been ventilated. In all but one instance fresh air inlets have been provided. Syphon intercepting traps have been provided in every case, and inspection manholes have been constructed in every case where necessary. Estimated cost of the whole of above works is �425. In conclusion, we may state that the carrying out of the ""Infectious Diseases Notification Act,"" has involved a very considerable amount of extra work during the past year, as will be seen from the figures relating to disinfecting in the tabulated work before mentioned. We are, Sir, Your obedient Servants, RICHARD SKIDMORE WRACK, Sanitary Inspectors. THOS. P. WRACK. 23 APPENDIX. SLAUGHTER-HOUSES. WHITECHAPEL. Address. To whom Licensed. 269. Whitechapel Road Alfred Garton 3, High Street Benjamin James Wood. 6, � � Solomon Horwitz and Joseph Lialter 27, � � Thomas Kefford. 4, � � Charles Henry Knight. 2, � � Robert Lankester. 52, � � Joseph Nathan. 52, Cable Street Mary Pettitt. MILE END NEW TOWN. 147, Hanbury Street John Arthur Garton. COW-HOUSES. WHITECHAPEL. Address. To whom Licensed. 11, Black Lion Yard (both sides) John Davis 6, Whites Row Evan Edwards. 7, Finch Street William James."
1893,1893_0011,Mile End Old Town,cholera,"It is hoped that increased efforts will be made amongst the strong-holds of Cholera, so that the disease may cease to be the dreadful scourge it has proved in the past. Our only effectual safety lies in the disease ceasing to exist in Egypt. The last volume of the Census Returns has just been issued. I have examined these Returns, and have extracted those Tables which referred to the Whitechapel District. I have prefaced this Report with them, so that they might be readily available for future reference. As. these figures are open to inspection by any requiring special information, I shall only revert to the altered condition since the last Census from one point of view, viz:�the influence of Foreign immigration, upon the Whitechapel District. Included in the City of London, Shoreditch, Bethnal Green, Stepney, St. George-in-the-East, Mile End Old Town and Poplar, 39,307 foreigners of all nationalities were present on the Census night, and of these, Whitechapel possessed 17,961. Taking, however, only Russians and Russian Poles, the Whitechapel District possesses 13,538, of these country people as compared with 10,213 distributed amongst all the other East End Parishes, including the City of London."
1894,1894_0011,Mile End New Town,cholera,"Although sulphurous acid gas is still used as the routine disinfectant for rooms, it is supplemented in special cases by perchloride of mercury in solution. In the summer of 1894, the former provisions as to Cholera precautions were revived, and during the autumn months your Board added ""Diarrh�a "" to the list of notifiable diseases. * Six only were District Residents 8 I am informed by your Surveyor that the results in connection with the cremation of refuse have been highly satisfactory during the year, and I can bear testimony to the advantages which are derived from the daily collection of house refuse, which now is extended to nearly the whole District. It may interest you to know that at present only four Sanitary Districts out of 42 have Dust destructors, the remaining Authorities continue to dispose of the refuse in the manner which formerly you were obliged to adopt. Old Age Deaths:-Males 14 Females 17 31 Age Distribution of Deaths. Sub-Registration Districts Distribution. Between the ages of 80 and 85 16 Spitalfields Sub-District 10 � � 85 � 90 11 Mile End New Town do."
1894,1894_0011,Spitalfields,cholera,"Although sulphurous acid gas is still used as the routine disinfectant for rooms, it is supplemented in special cases by perchloride of mercury in solution. In the summer of 1894, the former provisions as to Cholera precautions were revived, and during the autumn months your Board added ""Diarrh�a "" to the list of notifiable diseases. * Six only were District Residents 8 I am informed by your Surveyor that the results in connection with the cremation of refuse have been highly satisfactory during the year, and I can bear testimony to the advantages which are derived from the daily collection of house refuse, which now is extended to nearly the whole District. It may interest you to know that at present only four Sanitary Districts out of 42 have Dust destructors, the remaining Authorities continue to dispose of the refuse in the manner which formerly you were obliged to adopt. Old Age Deaths:-Males 14 Females 17 31 Age Distribution of Deaths. Sub-Registration Districts Distribution. Between the ages of 80 and 85 16 Spitalfields Sub-District 10 � � 85 � 90 11 Mile End New Town do."
1894,1894_0059,Wentworth Street,scarlet fever,"W.C. in yard stopped and water apparatus to same defective Dec. 18th Work done. Summons withdrawn. 12, Duncan Street Walls and ceiling of workshop dirty and dilapidated. Workshop is without sufficient and suitable accommodation in the way of sanitary conveniences, and without separate accomodation for the females employed therein � 18th Work done. Summons withdrawn. Wentworth Street Exposing for sale a quantity of chestnuts and water melons unfit for human food � 19th Fined �l and 5s. costs. 1, New Buildings, Tenter Street For exposing a child suffering from scarlet fever in the workshop � 24th Dismissed upon a technical objection. Magistrate ruled that a workshop was not a shop within the meaning of the Act. 44 PROCEEDINGS TAKEN UNDER THE HOUSING OF THE WORKING CLASSES ACT, 1890. Situation of Property. Date of Representation of the Medical Officer. Nature of Representation. Date of hearing of Summons. Result. 1894 1894 104, Hanbury Street February 12th Premises in such a state as to be totally unfit for human habitation March 8th The whole of the Summonses were adjourned from time to time to enable Owners to carry out very extensive works."
1894,1894_0059,Hanbury Street,scarlet fever,"W.C. in yard stopped and water apparatus to same defective Dec. 18th Work done. Summons withdrawn. 12, Duncan Street Walls and ceiling of workshop dirty and dilapidated. Workshop is without sufficient and suitable accommodation in the way of sanitary conveniences, and without separate accomodation for the females employed therein � 18th Work done. Summons withdrawn. Wentworth Street Exposing for sale a quantity of chestnuts and water melons unfit for human food � 19th Fined �l and 5s. costs. 1, New Buildings, Tenter Street For exposing a child suffering from scarlet fever in the workshop � 24th Dismissed upon a technical objection. Magistrate ruled that a workshop was not a shop within the meaning of the Act. 44 PROCEEDINGS TAKEN UNDER THE HOUSING OF THE WORKING CLASSES ACT, 1890. Situation of Property. Date of Representation of the Medical Officer. Nature of Representation. Date of hearing of Summons. Result. 1894 1894 104, Hanbury Street February 12th Premises in such a state as to be totally unfit for human habitation March 8th The whole of the Summonses were adjourned from time to time to enable Owners to carry out very extensive works."
1895,1895_0014,Commercial Street,smallpox,"No re-vaccinated person properly so called contracted the disease. A second letter as to persons who had Small-pox, and who were not removed to hospital, was received from the Local Government Board. The matters mentioned therein have been included in the above Report. I have only to add that I have supplied the Infirmary Medical Superintendent with Vaccine Lymph sufficient to re-vaccinate the staff and many of the patients. So far as I can learn, only one woman�a scrubber at the Infirmarycontracted Small-pox. She had not been re-vaccinated. I believe that I have re-vaccinated nearly all the persons who are employed at the Salvation Army Shelter in the Whitechapel Road, and also the men employed at the Victoria Home, No. 1 in Commercial Street, where 8 of the cases occurred. As a matter of fact, therefore, 50 per cent, of the cases were reported as coming from Salvation Army Shelters, 25 per cent, from private houses, and 25 per cent, from Registered Common Lodging-houses, the Whitechapel Infirmary, and from all outside Philanthropic Shelters. At present about 16 of the cases may be centres from which fresh cases may arise, and to these our attention must remain for the present directed."
1895,1895_0014,Whitechapel Road,smallpox,"No re-vaccinated person properly so called contracted the disease. A second letter as to persons who had Small-pox, and who were not removed to hospital, was received from the Local Government Board. The matters mentioned therein have been included in the above Report. I have only to add that I have supplied the Infirmary Medical Superintendent with Vaccine Lymph sufficient to re-vaccinate the staff and many of the patients. So far as I can learn, only one woman�a scrubber at the Infirmarycontracted Small-pox. She had not been re-vaccinated. I believe that I have re-vaccinated nearly all the persons who are employed at the Salvation Army Shelter in the Whitechapel Road, and also the men employed at the Victoria Home, No. 1 in Commercial Street, where 8 of the cases occurred. As a matter of fact, therefore, 50 per cent, of the cases were reported as coming from Salvation Army Shelters, 25 per cent, from private houses, and 25 per cent, from Registered Common Lodging-houses, the Whitechapel Infirmary, and from all outside Philanthropic Shelters. At present about 16 of the cases may be centres from which fresh cases may arise, and to these our attention must remain for the present directed."
